Compound_ID,SMILES,IC50_nM,pActivity,Measurements,Sources,Scaffold
BCRABL_002028,Cc1cc[n+]([O-])cc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)sc2c1,74.2,7.129596094720973,1,BindingDB,O=C(Nc1nc2ccc(-c3ccc[nH+]c3)cc2s1)C1CC1
BCRABL_002029,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(Oc4ccnc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,75.0,7.1249387366083,1,BindingDB,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(Oc2ccnc3[nH]ccc23)c1
BCRABL_002030,C=CCN(C)CCCCCCOc1ccc2c(-c3ccc(Br)cc3)noc2c1,75.0,7.1249387366083,1,BindingDB,c1ccc(-c2noc3ccccc23)cc1
BCRABL_002031,CC(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,75.0,7.1249387366083,1,BindingDB,c1ccc2cc(-c3n[nH]c4ncncc34)ccc2c1
BCRABL_002032,Cc1oc(-c2ccccc2)nc1CCOc1cccc(CN(CCc2ccccc2)CC(=O)O)c1,75.0,7.1249387366083,1,BindingDB,c1ccc(CCNCc2cccc(OCCc3coc(-c4ccccc4)n3)c2)cc1
BCRABL_002033,C=CCN(C)C/C=C/COc1ccc2c(-c3ccc(Br)cc3)csc2c1,75.0,7.1249387366083,1,BindingDB,c1ccc(-c2csc3ccccc23)cc1
BCRABL_002034,CN1CCC(CNc2nc3sc4c(c3c(=O)[nH]2)CCCC4)CC1,76.0,7.119186407719209,1,BindingDB,O=c1[nH]c(NCC2CCNCC2)nc2sc3c(c12)CCCC3
BCRABL_002035,Cc1ccncc1-c1ccc2nc(NC(=O)C3CC(F)C3)sc2c1,76.2,7.1180450286604,2,BindingDB,O=C(Nc1nc2ccc(-c3cccnc3)cc2s1)C1CCC1
BCRABL_002036,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cncc(-c2cccnc2O)c1,77.0,7.113509274827518,1,BindingDB,O=C(Nc1ccccc1)c1cncc(-c2cccnc2)c1
BCRABL_002037,CCn1c(CCCc2cccc(-c3cccc(C4(C(=O)O)CC4)c3)c2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O,77.0,7.113509274827518,1,BindingDB,O=c1[nH]c(CCCc2cccc(-c3cccc(C4CC4)c3)c2)nn1Cc1ccccc1
BCRABL_002038,Cc1cc(-c2ccc3c(c2)-c2nnc(Oc4cccc(OC(F)(F)F)c4)n2CCO3)ccn1,78.0,7.107905397309519,1,BindingDB,c1ccc(Oc2nnc3n2CCOc2ccc(-c4ccncc4)cc2-3)cc1
